time,Setpoint_Python,Setpoint_Existing,ESB_Tower_1 bypassValveOpenClose,ESB_Tower_1 enteringWaterTemp,ESB_Tower_1 leavingWaterTemp,ESB_Tower_1 outdoorAirDryBulb,ESB_Tower_1 outdoorAirHumidity,ESB_Tower_1 outdoorAirWetBulb,DayOfWeek,HourOfDay,Cell1_Fan vfdPercent
2022-06-01 02:30:00+00:00,74.4148941040039,74.5163726806641,False,75.1267318725586,77.40135955810547,84.52206420898438,51.04264068603516,70.4148941040039,2,2,0.0
2022-06-01 02:35:00+00:00,74.3720397949219,74.5163726806641,False,75.1267318725586,77.40135955810547,84.20575714111328,51.18619155883789,70.37203979492188,2,2,0.0
2022-06-01 02:40:00+00:00,74.1284942626953,74.5163726806641,False,75.1267318725586,77.40135955810547,84.20575714111328,50.552921295166016,70.12849426269531,2,2,0.0
2022-06-01 02:45:00+00:00,74.0357666015625,74.5163726806641,False,75.1267318725586,77.40135955810547,83.88799285888672,50.697227478027344,70.0357666015625,2,2,0.0
2022-06-01 02:50:00+00:00,74.3460388183594,74.5163726806641,False,75.1267318725586,77.40135955810547,83.88799285888672,52.379093170166016,70.34603881835938,2,2,0.0
2022-06-01 02:55:00+00:00,74.2757034301758,74.5163726806641,False,75.1267318725586,77.40135955810547,83.58929443359375,52.4310188293457,70.27570343017578,2,2,0.0
2022-06-01 03:00:00+00:00,74.3212585449219,74.5163726806641,False,75.1267318725586,77.40135955810547,83.58929443359375,52.63754653930664,70.32125854492188,2,3,0.0
2022-06-01 03:05:00+00:00,74.3494720458984,74.5163726806641,False,75.1083755493164,77.70008087158203,83.58929443359375,53.06851959228516,70.34947204589844,2,3,0.0
2022-06-01 03:10:00+00:00,74.2276458740234,74.5163726806641,False,75.1083755493164,77.70008087158203,83.28767395019531,53.04874801635742,70.22764587402344,2,3,0.0
2022-06-01 03:15:00+00:00,74.2333297729492,74.5163726806641,False,75.1083755493164,77.70008087158203,83.28767395019531,53.41958999633789,70.23332977294922,2,3,0.0
2022-06-01 03:20:00+00:00,74.4125061035156,74.5163726806641,False,75.41516876220703,77.70008087158203,83.28767395019531,54.05264663696289,70.41250610351562,2,3,0.0
2022-06-01 03:25:00+00:00,74.3875122070313,74.5163726806641,False,75.41516876220703,77.70008087158203,82.658447265625,55.245872497558594,70.38751220703125,2,3,0.0
2022-06-01 03:30:00+00:00,74.3161468505859,74.5163726806641,False,75.11077117919922,77.70008087158203,82.658447265625,55.245872497558594,70.31614685058594,2,3,0.0
2022-06-01 03:35:00+00:00,74.2300415039063,74.5163726806641,False,75.41566467285156,77.70008087158203,82.658447265625,54.872013092041016,70.23004150390625,2,3,0.0
2022-06-01 03:40:00+00:00,74.9226531982422,74.5163726806641,False,75.41566467285156,77.70008087158203,82.34803771972656,54.56015396118164,69.92265319824219,2,3,0.0
2022-06-01 03:45:00+00:00,74.4234237596393,74.5163726806641,False,75.41566467285156,77.70008087158203,82.34803771972656,54.8075065612793,69.92342376708984,2,3,0.0
2022-06-01 03:50:00+00:00,73.7067413330078,74.5163726806641,False,75.41566467285156,77.70008087158203,82.34803771972656,54.12126159667969,69.70674133300781,2,3,0.0
2022-06-01 03:55:00+00:00,73.5214538574219,74.5163726806641,False,75.41566467285156,77.70008087158203,82.34803771972656,53.96178436279297,69.52145385742188,2,3,0.0
2022-06-01 04:00:00+00:00,73.5495910644531,74.5163726806641,False,75.41566467285156,77.70008087158203,82.34803771972656,53.96178436279297,69.54959106445312,2,4,0.0
2022-06-01 04:05:00+00:00,73.4082946777344,73.4358062744141,False,75.41566467285156,77.70008087158203,82.04145050048828,53.729637145996094,69.40829467773438,2,4,0.0
2022-06-01 04:10:00+00:00,73.2975158691406,73.4358062744141,False,75.41566467285156,77.70008087158203,82.04145050048828,53.729637145996094,69.29751586914062,2,4,0.0
2022-06-01 04:15:00+00:00,73.2097091674805,73.4358062744141,False,75.41566467285156,77.70008087158203,82.04145050048828,53.569244384765625,69.20970916748047,2,4,0.0
2022-06-01 04:20:00+00:00,73.1155776977539,73.4358062744141,False,75.41566467285156,77.70008087158203,82.04145050048828,53.569244384765625,69.1155776977539,2,4,0.0
2022-06-01 04:25:00+00:00,72.9418182373047,73.4358062744141,False,75.41566467285156,77.70008087158203,81.734375,53.3677978515625,68.94181823730469,2,4,0.0
2022-06-01 04:30:00+00:00,72.7804870605469,73.4358062744141,False,75.41566467285156,77.70008087158203,81.734375,52.84568786621094,68.78048706054688,2,4,0.0
2022-06-01 04:35:00+00:00,72.7313842773438,73.4358062744141,False,75.41566467285156,77.70008087158203,81.734375,52.84568786621094,68.73138427734375,2,4,0.0
2022-06-01 04:40:00+00:00,72.8721160888672,73.4358062744141,False,75.71923828125,77.70008087158203,81.734375,53.1899642944336,68.87211608886719,2,4,0.0
2022-06-01 04:45:00+00:00,72.6179809570313,73.4358062744141,False,75.71923828125,77.70008087158203,81.734375,52.677860260009766,68.61798095703125,2,4,0.0
2022-06-01 04:50:00+00:00,72.6138381958008,73.4358062744141,False,75.71923828125,77.70008087158203,81.4310302734375,53.00334548950195,68.61383819580078,2,4,0.0
2022-06-01 04:55:00+00:00,72.470085144043,73.4358062744141,False,75.41959381103516,77.99897003173828,81.4310302734375,53.170013427734375,68.47008514404297,2,4,0.0
2022-06-01 05:00:00+00:00,72.736930847168,73.4358062744141,False,75.41959381103516,77.99897003173828,81.12142181396484,54.11775588989258,68.73693084716797,2,5,0.0
